Device Name,URL
Huawei Pura X Max,https://www.gsmarena.com/huawei_pura_x_max_5g-14607.php
Huawei Pura 90 Pro Max,https://www.gsmarena.com/huawei_pura_90_pro_max_5g-14609.php
Huawei Pura 90 Pro,https://www.gsmarena.com/huawei_pura_90_pro_5g-14610.php
Huawei Pura 90,https://www.gsmarena.com/huawei_pura_90_5g-14612.php
Tecno Pop X,https://www.gsmarena.com/tecno_pop_x_5g-14608.php
Oppo Find X9s Pro,https://www.gsmarena.com/oppo_find_x9s_pro-14592.php
Huawei Watch Fit 5 Pro,https://www.gsmarena.com/huawei_watch_fit_5_pro-14614.php
Huawei Watch Fit 5,https://www.gsmarena.com/huawei_watch_fit_5-14613.php
Oppo Find X9s,https://www.gsmarena.com/oppo_find_x9s-14617.php
Motorola Edge 70 Pro,https://www.gsmarena.com/motorola_edge_70_pro_5g-14620.php
Xiaomi Redmi A7,https://www.gsmarena.com/xiaomi_redmi_a7-14623.php
Oppo Find X9s,https://www.gsmarena.com/oppo_find_x9s_5g-14617.php
Xiaomi Poco M8s,https://www.gsmarena.com/xiaomi_poco_m8s_5g-14615.php
Xiaomi Poco C81,https://www.gsmarena.com/xiaomi_poco_c81-14626.php
Xiaomi Poco C81x,https://www.gsmarena.com/xiaomi_poco_c81x-14627.php
Honor MagicPad 3 Pro 12.3,https://www.gsmarena.com/honor_magicpad_3_pro_12_3-14629.php
Realme C100x,https://www.gsmarena.com/realme_c100x-14628.php
OnePlus Pad 4,https://www.gsmarena.com/oneplus_pad_4-14630.php
Xiaomi Poco C81 Pro,https://www.gsmarena.com/xiaomi_poco_c81_pro-14635.php
